,Equal Accuracy,Equal False Discovery,Equal False Negative,Equal Demographic Parity
0,0.1000873942514448,0.010876785756746925,0.8448408652472054,0.0441949547446031
1,0.6389636636568133,0.02199969857520257,0.0643879429430376,0.2746486948249465
2,0.14213084431123116,0.003806211700125177,0.028529008679953376,0.8255339353086903
3,0.5138493041727413,0.03159364382145964,0.3237830011357866,0.13077405087001234
4,0.22194149783763545,0.02220716082443724,0.5892705960940995,0.16658074524382785
5,0.37188476103733037,0.011362482535863982,0.39545191645785066,0.22130083996895505
6,0.2416518696400553,0.06767248555590602,0.1817461693501471,0.5089294754538916
7,0.4850142123270618,0.038765576399750104,0.3365299823012283,0.13969022897195976
8,0.6929390149714507,0.07208072429292378,0.12420359308558282,0.11077666765004286
9,0.4494932077598223,0.16987631327214653,0.24300459166411745,0.13762588730391373
10,0.4089390947702536,0.3067340276496066,0.21826642821230333,0.06606044936783664
11,0.6486369362182391,0.08117123166152551,0.16877259001778902,0.10141924210244628
12,0.2718767988084131,0.568582053602246,0.14663346404009253,0.012907683549248556
13,0.11376121091359154,0.006006456305442346,0.7627277189079742,0.11750461387299184
14,0.34176958241032707,0.1526509240586038,0.27273208652009356,0.23284740701097553
15,0.46238976583455305,0.09245973971918513,0.2454732231064882,0.19967727133977362
16,0.201615419056959,0.09063466012413247,0.636493783104072,0.07125613771483656
17,0.17452977383821233,0.7685328285472208,0.030972295077736245,0.025965102536830553
18,0.5599789630281707,0.037809483286926196,0.08213497127775372,0.3200765824071494
19,0.5098344290688096,0.06653492726997855,0.33073142576045667,0.09289921790075505
20,0.5235789891173999,0.08331867289436536,0.24790148234906328,0.1452008556391715
21,0.23008871227974287,0.07782935828412921,0.6468945469957299,0.045187382440397994
22,0.5230815019995915,0.05654622132244624,0.19824311238989822,0.22212916428806417
23,0.17439068606904837,0.06553917453812363,0.6711902740109564,0.08887986538187159
24,0.4169003226420351,0.002778154652523536,0.14600434380319496,0.43431717890224636
